Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (�),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
01/01/2019,2 fairgreen lane bolton callan,,Kilkenny,"�60,671.00",Yes,No,Second-Hand Dwelling house /Apartment,
01/01/2019,2 leix rd cabra dublin 7,Dublin 7,Dublin,"�30,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
01/01/2019,2 woodale view ballycullen firhouse dublin 24,Dublin 24,Dublin,"�30,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
01/01/2019,34 mitchell st dungarvan waterford,,Waterford,"�130,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/01/2019,apt 50 earlsfield court francis st dublin 8,Dublin 8,Dublin,"�15,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
02/01/2019,10 rockview terrace doneraile cork,,Cork,"�105,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/2019,102 sliabh rua moate westmeath,,Westmeath,"�165,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/2019,15 meadow court daingean offaly,,Offaly,"�125,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/2019,16 hawthorns skibbereen cork,,Cork,"�195,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/2019,20 somerton copse newcastle road lucan,,Dublin,"�308,370.04",No,Yes,New Dwelling house /Apartment,
02/01/2019,22 gate millerstown maynooth road,,Meath,"�286,343.61",No,Yes,New Dwelling house /Apartment,
02/01/2019,229 morell dale naas kildare,,Kildare,"�60,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
02/01/2019,27 rookery woods ballycasheen killarney,,Kerry,"�321,585.17",No,Yes,New Dwelling house /Apartment,
02/01/2019,31 saints park raheny dublin 5,Dublin 5,Dublin,"�460,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/2019,33 lohercannon tralee kerry,,Kerry,"�185,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/2019,35 court dunboyne castle,,Meath,"�220,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/2019,36 cliona park moyross limerick,,Limerick,"�82,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/2019,40 courtyard clonsilla dublin 15,Dublin 15,Dublin,"�221,500.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/2019,407 casement rd finglas west dublin 11,Dublin 11,Dublin,"�265,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/2019,5 glenfield banteer mallow,,Cork,"�175,000.00",Yes,Yes,New Dwelling house /Apartment,
02/01/2019,54 green college road galway,,Galway,"�376,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/2019,6 parkview beeches boherbue,,Cork,"�140,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/2019,86 knockmore wexford rd arklow,,Wicklow,"�150,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/2019,apartment 8 carrig house matt talbot road tralee,,Kerry,"�65,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/2019,apt 51 house cornmarket st ennis,,Clare,"�100,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/2019,ballinastraw monamolin gorey,,Wexford,"�170,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/2019,ballycurreen south ring dungarvan,,Waterford,"�200,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/2019,butterfield deanscurragh longford,,Longford,"�135,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/2019,cappamore limerick,,Limerick,"�105,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/2019,crimand esker lane ballydowd,,Dublin,"�535,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/2019,currabeha crookstown cork,,Cork,"�265,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/2019,curragha eslin bridge leitrim,,Leitrim,"�55,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/2019,1 cul na smear kilbrogan bandon,,Cork,"�255,000.00",Yes,Yes,New Dwelling house /Apartment,
02/01/2019,2 cul na smear kilbrogan bandon,,Cork,"�255,000.00",Yes,Yes,New Dwelling house /Apartment,
02/01/2019,3 cul na smear kilbrogan bandon,,Cork,"�255,000.00",Yes,Yes,New Dwelling house /Apartment,
02/01/2019,4 cul na smear kilbrogan bandon,,Cork,"�255,000.00",Yes,Yes,New Dwelling house /Apartment,
02/01/2019,5 cul na smear kilbrogan bandon,,Cork,"�255,000.00",Yes,Yes,New Dwelling house /Apartment,
02/01/2019,6 cul na smear knockbrogan bandon,,Cork,"�255,000.00",Yes,Yes,New Dwelling house /Apartment,
02/01/2019,7 cul na smear kilbrogan bandon,,Cork,"�255,000.00",Yes,Yes,New Dwelling house /Apartment,
02/01/2019,8 cul na smear knockbrogan bandon,,Cork,"�255,000.00",Yes,Yes,New Dwelling house /Apartment,
02/01/2019,parke castlebar comayo,,Mayo,"�242,500.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/2019,pound st ballaghadereen roscommon,,Roscommon,"�48,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/2019,seahouse friars walk abbeyside dungarvan,,Waterford,"�465,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/2019,cross lisgoold leamlara,,Cork,"�527,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/01/2019,1 churchfield mews ashbourne county meath,,Meath,"�299,560.00",No,Yes,New Dwelling house /Apartment,
03/01/2019,1 ardilaun court sybil hill road raheny,Dublin 5,Dublin,"�414,097.00",No,Yes,New Dwelling house /Apartment,
03/01/2019,1 cluain ard freemount cork,,Cork,"�410,000.00",No,Yes,New Dwelling house /Apartment,
03/01/2019,1 cluain ard freemount cork,,Cork,"�450,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/01/2019,108 carrigwier tuam galway,,Galway,"�92,511.02",No,Yes,New Dwelling house /Apartment,
03/01/2019,11 marlton park wicklow,,Wicklow,"�295,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/01/2019,14 dale broadmeadow vale ratoath,,Meath,"�299,559.47",No,Yes,New Dwelling house /Apartment,
03/01/2019,15 alma rd monkstown dublin,,Dublin,"�2,500,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/01/2019,16 railway ave galway rd clifden,,Galway,"�125,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/01/2019,17 fatima place kilkenny,,Kilkenny,"�105,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
03/01/2019,17 railway ave galway rd clifden,,Galway,"�125,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/01/2019,18 chapel court chapel lane claremorris,,Mayo,"�77,050.00",No,No,Second-Hand Dwelling house /Apartment,
03/01/2019,183 dooradoyle park dooradoyle road limerick,,Limerick,"�150,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/01/2019,19 atlantic coast apartments tramore county waterford,,Waterford,"�90,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/01/2019,19 willows clarinwood tramore,,Waterford,"�165,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/01/2019,19 white oaks summer hill mallow,,Cork,"�145,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/01/2019,2 greenfields rosbrien limerick,,Limerick,"�120,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/01/2019,2 leitrim beg kylebrack loughrea,,Galway,"�290,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/01/2019,2 rahillion park donabate,,Dublin,"�383,259.00",No,Yes,New Dwelling house /Apartment,
03/01/2019,21 cluain ard killyclug letterkenny,,Donegal,"�37,650.25",No,No,Second-Hand Dwelling house /Apartment,
03/01/2019,22 rathbourne square ashtown dublin 15,Dublin 15,Dublin,"�335,000.00",No,Yes,New Dwelling house /Apartment,
03/01/2019,22 somerton copse lucan,,Dublin,"�308,369.81",No,Yes,New Dwelling house /Apartment,
03/01/2019,22 summerhill south cork,,Cork,"�176,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/01/2019,23 ashford st dublin 7,Dublin 7,Dublin,"�283,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/01/2019,23 latchford green castaheany dublin 15,Dublin 15,Dublin,"�285,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/01/2019,23 sarsfield park lucan dublin,,Dublin,"�327,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/01/2019,26 hillview navan meath,,Meath,"�207,500.00",No,No,Second-Hand Dwelling house /Apartment,
03/01/2019,26 millers avenue millers glen swords,,Dublin,"�293,111.00",No,Yes,New Dwelling house /Apartment,
03/01/2019,27 gate millerstown maynooth road,,Meath,"�286,343.62",No,Yes,New Dwelling house /Apartment,
03/01/2019,3 beachside avenue riverchapel courtown,,Wexford,"�111,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/01/2019,3 meadowvale ramelton donegal,,Donegal,"�124,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/01/2019,303 ballisodare town centre ballisodare sl28174f sl28175f sl28176f,,Sligo,"�118,942.73",No,Yes,New Dwelling house /Apartment,
03/01/2019,36 georgian hamlet baldoyle dublin 13,Dublin 13,Dublin,"�340,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/01/2019,37 earlsfort ave lucan dublin,,Dublin,"�276,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/01/2019,39 ballybrit heights ballybrit galway,,Galway,"�280,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/01/2019,4 cluain ban tarmonbarry roscommon,,Roscommon,"�140,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/01/2019,4 dromkeen view church hill innishannon,,Cork,"�294,911.89",No,Yes,New Dwelling house /Apartment,
03/01/2019,4 rose hill cottages cord rd drogheda,,Louth,"�175,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/01/2019,42 riversfield estate midleton cork,,Cork,"�75,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
03/01/2019,44 beechwood gate beechwood hansfield,Dublin 15,Dublin,"�318,722.47",No,Yes,New Dwelling house /Apartment,
03/01/2019,5 college view avenue westport road castlebar,,Mayo,"�109,000.00",Yes,Yes,New Dwelling house /Apartment,
03/01/2019,5 st marys court drogheda louth,,Louth,"�166,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/01/2019,51 cedar sq cedars ridgewood,,Dublin,"�279,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/01/2019,53 knightsbrook crescent dublin road trim,,Meath,"�268,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/01/2019,55 cluain adain green clonmagadden navan,,Meath,"�255,506.61",No,Yes,New Dwelling house /Apartment,
03/01/2019,56 arra view newcastle west limerick,,Limerick,"�143,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/01/2019,58 grosvenor lodge rathmines dublin 6,Dublin 6,Dublin,"�250,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/01/2019,59a racecourse lawn tralee kerry,,Kerry,"�196,000.00",No,No,Second-Hand Dwelling house /Apartment,
