Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (�),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
"01/01/2019","2 FAIRGREEN LANE, BOLTON, CALLAN","","Kilkenny","�60,671.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"01/01/2019","2 LEIX RD, CABRA, DUBLIN 7","Dublin 7","Dublin","�30,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"01/01/2019","2 WOODALE VIEW, BALLYCULLEN, FIRHOUSE DUBLIN 24","Dublin 24","Dublin","�30,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"01/01/2019","34 MITCHELL ST, DUNGARVAN, WATERFORD","","Waterford","�130,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/01/2019","APT 50, EARLSFIELD COURT, FRANCIS ST DUBLIN 8","Dublin 8","Dublin","�15,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"02/01/2019","10 ROCKVIEW TERRACE, DONERAILE, CO CORK","","Cork","�105,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2019","102 SLIABH RUA, MOATE, WESTMEATH","","Westmeath","�165,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2019","15 MEADOW COURT, DAINGEAN, CO OFFALY","","Offaly","�125,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2019","16 THE HAWTHORNS, SKIBBEREEN, CORK","","Cork","�195,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2019","20 Somerton Copse, Newcastle Road, Lucan","","Dublin","�308,370.04","No","Yes","New Dwelling house /Apartment",""
"02/01/2019","22 Mill Gate, Millerstown, Maynooth Road","","Meath","�286,343.61","No","Yes","New Dwelling house /Apartment",""
"02/01/2019","229 MORELL DALE, NAAS, KILDARE","","Kildare","�60,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"02/01/2019","27 Rookery Woods, Ballycasheen, Killarney","","Kerry","�321,585.17","No","Yes","New Dwelling house /Apartment",""
"02/01/2019","31 ALL SAINTS PARK, RAHENY, DUBLIN 5","Dublin 5","Dublin","�460,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2019","33 LOHERCANNON, TRALEE, KERRY","","Kerry","�185,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2019","35 THE COURT, DUNBOYNE CASTLE, DUNBOYNE","","Meath","�220,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2019","36 CLIONA PARK, MOYROSS, LIMERICK","","Limerick","�82,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2019","40 THE COURTYARD, CLONSILLA, DUBLIN 15","Dublin 15","Dublin","�221,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2019","407 CASEMENT RD, FINGLAS WEST, DUBLIN 11","Dublin 11","Dublin","�265,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2019","5 GLENFIELD, BANTEER, MALLOW","","Cork","�175,000.00","Yes","Yes","New Dwelling house /Apartment",""
"02/01/2019","54 THE GREEN, COLLEGE ROAD, GALWAY","","Galway","�376,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2019","6 PARKVIEW, THE BEECHES, BOHERBUE","","Cork","�140,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2019","86 KNOCKMORE, WEXFORD RD, ARKLOW","","Wicklow","�150,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2019","APARTMENT NO 8 CARRIG HOUSE, MATT TALBOT ROAD, TRALEE","","Kerry","�65,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2019","APT 51, MILL HOUSE, CORNMARKET ST ENNIS","","Clare","�100,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2019","BALLINASTRAW, MONAMOLIN, GOREY","","Wexford","�170,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2019","BALLYCURREEN SOUTH, RING, DUNGARVAN","","Waterford","�200,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2019","BUTTERFIELD, DEANSCURRAGH, LONGFORD","","Longford","�135,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2019","CAPPAMORE, LIMERICK","","Limerick","�105,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2019","CRIMAND, ESKER LANE, BALLYDOWD","","Dublin","�535,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2019","CURRABEHA, CROOKSTOWN, CORK","","Cork","�265,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2019","CURRAGHA, ESLIN BRIDGE, CO. LEITRIM","","Leitrim","�55,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2019","No. 1 Cul na Smear, Kilbrogan, Bandon","","Cork","�255,000.00","Yes","Yes","New Dwelling house /Apartment",""
"02/01/2019","No. 2 Cul na Smear, Kilbrogan, Bandon","","Cork","�255,000.00","Yes","Yes","New Dwelling house /Apartment",""
"02/01/2019","No. 3 Cul na Smear, Kilbrogan, Bandon","","Cork","�255,000.00","Yes","Yes","New Dwelling house /Apartment",""
"02/01/2019","No. 4 Cul na Smear, Kilbrogan, Bandon","","Cork","�255,000.00","Yes","Yes","New Dwelling house /Apartment",""
"02/01/2019","No. 5 Cul na Smear, Kilbrogan, Bandon","","Cork","�255,000.00","Yes","Yes","New Dwelling house /Apartment",""
"02/01/2019","No. 6 Cul na Smear, Knockbrogan, Bandon","","Cork","�255,000.00","Yes","Yes","New Dwelling house /Apartment",""
"02/01/2019","No. 7 Cul na Smear, Kilbrogan, Bandon","","Cork","�255,000.00","Yes","Yes","New Dwelling house /Apartment",""
"02/01/2019","No. 8 Cul na Smear, Knockbrogan, Bandon","","Cork","�255,000.00","Yes","Yes","New Dwelling house /Apartment",""
"02/01/2019","PARKE, CASTLEBAR, CO.MAYO","","Mayo","�242,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2019","POUND ST, BALLAGHADEREEN, ROSCOMMON","","Roscommon","�48,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2019","THE SEAHOUSE FRIARS WALK, ABBEYSIDE, DUNGARVAN","","Waterford","�465,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2019","TOP CROSS, LISGOOLD, LEAMLARA","","Cork","�527,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2019","1  churchfield Mews, Ashbourne, County Meath","","Meath","�299,560.00","No","Yes","New Dwelling house /Apartment",""
"03/01/2019","1 Ardilaun Court, Sybil Hill Road, Raheny","Dublin 5","Dublin","�414,097.00","No","Yes","New Dwelling house /Apartment",""
"03/01/2019","1 CLUAIN ARD, FREEMOUNT, CORK","","Cork","�410,000.00","No","Yes","New Dwelling house /Apartment",""
"03/01/2019","1 CLUAIN ARD, FREEMOUNT, CORK","","Cork","�450,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2019","108 Carrigwier, Tuam, Co Galway","","Galway","�92,511.02","No","Yes","New Dwelling house /Apartment",""
"03/01/2019","11 MARLTON PARK, WICKLOW, WICKLOW","","Wicklow","�295,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2019","14 The Dale, Broadmeadow Vale, Ratoath","","Meath","�299,559.47","No","Yes","New Dwelling house /Apartment",""
"03/01/2019","15 ALMA RD, MONKSTOWN, DUBLIN","","Dublin","�2,500,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2019","16 RAILWAY AVE, GALWAY RD, CLIFDEN","","Galway","�125,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2019","17 FATIMA PLACE, KILKENNY, KILKENNY","","Kilkenny","�105,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"03/01/2019","17 RAILWAY AVE, GALWAY RD, CLIFDEN","","Galway","�125,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2019","18 CHAPEL COURT, CHAPEL LANE, CLAREMORRIS","","Mayo","�77,050.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2019","183 DOORADOYLE PARK, DOORADOYLE ROAD, LIMERICK","","Limerick","�150,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2019","19 ATLANTIC COAST APARTMENTS, TRAMORE, COUNTY WATERFORD","","Waterford","�90,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2019","19 THE WILLOWS, CLARINWOOD, TRAMORE","","Waterford","�165,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2019","19 WHITE OAKS, SUMMER HILL, MALLOW","","Cork","�145,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2019","2 GREENFIELDS, ROSBRIEN, LIMERICK","","Limerick","�120,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2019","2 LEITRIM BEG, KYLEBRACK, LOUGHREA","","Galway","�290,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2019","2 Rahillion Park, Donabate","","Dublin","�383,259.00","No","Yes","New Dwelling house /Apartment",""
"03/01/2019","21 CLUAIN ARD, KILLYCLUG, LETTERKENNY","","Donegal","�37,650.25","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2019","22 Rathbourne Square, Ashtown, Dublin 15","Dublin 15","Dublin","�335,000.00","No","Yes","New Dwelling house /Apartment",""
"03/01/2019","22 Somerton Copse, Lucan","","Dublin","�308,369.81","No","Yes","New Dwelling house /Apartment",""
"03/01/2019","22 SUMMERHILL SOUTH, CORK, CORK","","Cork","�176,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2019","23 ASHFORD ST, DUBLIN 7, DUBLIN","Dublin 7","Dublin","�283,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2019","23 LATCHFORD GREEN, CASTAHEANY, DUBLIN 15","Dublin 15","Dublin","�285,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2019","23 SARSFIELD PARK, LUCAN, DUBLIN","","Dublin","�327,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2019","26 HILLVIEW, NAVAN, CO MEATH","","Meath","�207,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2019","26 MILLERS AVENUE, MILLERS GLEN, SWORDS","","Dublin","�293,111.00","No","Yes","New Dwelling house /Apartment",""
"03/01/2019","27 mill gate, millerstown, maynooth road","","Meath","�286,343.62","No","Yes","New Dwelling house /Apartment",""
"03/01/2019","3 BEACHSIDE AVENUE, RIVERCHAPEL, COURTOWN","","Wexford","�111,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2019","3 MEADOWVALE, RAMELTON, DONEGAL","","Donegal","�124,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2019","303 Ballisodare Town Centre, Ballisodare, SL28174F  SL28175F  SL28176F","","Sligo","�118,942.73","No","Yes","New Dwelling house /Apartment",""
